row	exp	sign	flag	sig68	label
0	00000	0	0	07878787878787878	BCD mask by 4's
1	00000	0	0	007f807f807f807f8	BCD mask by 8's
2	00000	0	0	00007fff80007fff8	BCD mask by 16's
3	00000	0	0	000000007fffffff8	BCD mask by 32's
4	00000	0	0	78000000000000000	4-bit mask
5	00000	0	0	18000000000000000	2-bit mask
6	00000	0	0	27000000000000000	?
7	00000	0	0	363c0000000000000	?
8	00000	0	0	3e8287c0000000000	?
9	00000	0	0	470de4df820000000	2 13 ×10 16
10	00000	0	0	5c3bd5191b525a249	2 123 /10 17
11	00000	0	0	00000000000000007	3-bit mask
12	1ffff	1	1	7ffffffffffffffff	all 1's
13	00000	0	0	0000007ffffffffff	mask for 32-bit float
14	00000	0	0	00000000000003fff	mask for 64-bit float
15	00000	0	0	00000000000000000	all 0's
16	0ffff	0	0	40000000000000000	1 1
17	10000	0	0	6a4d3c25e68dc57f2	3.3219280949 log 2 (10)
18	0ffff	0	0	5c551d94ae0bf85de	1.4426950409 log 2 (e)
19	10000	0	0	6487ed5110b4611a6	3.1415926536 pi
20	0ffff	0	0	6487ed5110b4611a6	1.5707963268 pi/2
21	0fffe	0	0	6487ed5110b4611a6	0.7853981634 pi/4
22	0fffd	0	0	4d104d427de7fbcc5	0.3010299957 log 10 (2)
23	0fffe	0	0	58b90bfbe8e7bcd5f	0.6931471806 ln(2)
24	1ffff	0	0	40000000000000000	+infinity
25	0bfc0	0	0	40000000000000000	1/4 of smallest 80-bit denormal?
26	1ffff	1	0	60000000000000000	NaN (not a number)
27	0ffff	1	0	40000000000000000	-1 -1
28	10000	0	0	40000000000000000	2 2
29	00000	0	0	00000000000000001	low bit
30	00000	0	0	00000000000000000	all 0's
31	00001	0	0	00000000000000000	single exponent bit
32	0fffe	0	0	58b90bfbe8e7bcd5e	0.6931471806 ln(2)
33	0fffe	0	0	40000000000000000	0.5 1/2! (exp Taylor series)
34	0fffc	0	0	5555555555555584f	0.1666666667 ≈1/3!
35	0fffa	0	0	555555555397fffd4	0.0416666667 ≈1/4!
36	0fff8	0	0	444444444250ced0c	0.0083333333 ≈1/5!
