case_id	instruction	mode	input_se	input_sig	result0_se	result0_sig	result1_se	result1_sig	skylake_sw	provenance
GM00	fsincos	rn	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	3020	skylake_h384
GM01	fsincos	rn	bffc	bda025e336cd4273	bffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	3020	skylake_h384
GM02	fsincos	rn	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2931	3ffe	fb9f863a86f71005	3020	skylake_h384
GM03	fsincos	rn	bffc	bda025e336cd4274	bffc	bc8b2d3768da2931	3ffe	fb9f863a86f71005	3020	skylake_h384
GM04	fsincos	rn	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2932	3ffe	fb9f863a86f71005	3220	skylake_h384
GM05	fsincos	rn	bffc	bda025e336cd4275	bffc	bc8b2d3768da2932	3ffe	fb9f863a86f71005	3220	skylake_h384
GM00	fsin	rn	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da2930	-	-	3a20	skylake_h384
GM01	fsin	rn	bffc	bda025e336cd4273	bffc	bc8b2d3768da2930	-	-	3a20	skylake_h384
GM02	fsin	rn	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2931	-	-	3a20	skylake_h384
GM03	fsin	rn	bffc	bda025e336cd4274	bffc	bc8b2d3768da2931	-	-	3a20	skylake_h384
GM04	fsin	rn	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2932	-	-	3a20	skylake_h384
GM05	fsin	rn	bffc	bda025e336cd4275	bffc	bc8b2d3768da2932	-	-	3a20	skylake_h384
GM00	fcos	rn	3ffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM01	fcos	rn	bffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM02	fcos	rn	3ffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM03	fcos	rn	bffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM04	fcos	rn	3ffc	bda025e336cd4275	3ffe	fb9f863a86f71005	-	-	3a20	skylake_h384
GM05	fcos	rn	bffc	bda025e336cd4275	3ffe	fb9f863a86f71005	-	-	3a20	skylake_h384
GM00	fptan	rn	3ffc	bda025e336cd4273	3ffc	bfd2c2891670233e	3fff	8000000000000000	3220	skylake_h384
GM01	fptan	rn	bffc	bda025e336cd4273	bffc	bfd2c2891670233e	3fff	8000000000000000	3220	skylake_h384
GM02	fptan	rn	3ffc	bda025e336cd4274	3ffc	bfd2c2891670233f	3fff	8000000000000000	3220	skylake_h384
GM03	fptan	rn	bffc	bda025e336cd4274	bffc	bfd2c2891670233f	3fff	8000000000000000	3220	skylake_h384
GM04	fptan	rn	3ffc	bda025e336cd4275	3ffc	bfd2c28916702340	3fff	8000000000000000	3220	skylake_h384
GM05	fptan	rn	bffc	bda025e336cd4275	bffc	bfd2c28916702340	3fff	8000000000000000	3220	skylake_h384
GM00	fsincos	rd	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da292f	3ffe	fb9f863a86f71005	3020	skylake_h384
GM01	fsincos	rd	bffc	bda025e336cd4273	bffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	3020	skylake_h384
GM02	fsincos	rd	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2930	3ffe	fb9f863a86f71005	3020	skylake_h384
GM03	fsincos	rd	bffc	bda025e336cd4274	bffc	bc8b2d3768da2931	3ffe	fb9f863a86f71005	3020	skylake_h384
GM04	fsincos	rd	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2931	3ffe	fb9f863a86f71004	3020	skylake_h384
GM05	fsincos	rd	bffc	bda025e336cd4275	bffc	bc8b2d3768da2932	3ffe	fb9f863a86f71004	3020	skylake_h384
GM00	fsin	rd	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da292f	-	-	3820	skylake_h384
GM01	fsin	rd	bffc	bda025e336cd4273	bffc	bc8b2d3768da2930	-	-	3a20	skylake_h384
GM02	fsin	rd	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2930	-	-	3820	skylake_h384
GM03	fsin	rd	bffc	bda025e336cd4274	bffc	bc8b2d3768da2931	-	-	3a20	skylake_h384
GM04	fsin	rd	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2931	-	-	3820	skylake_h384
GM05	fsin	rd	bffc	bda025e336cd4275	bffc	bc8b2d3768da2932	-	-	3a20	skylake_h384
GM00	fcos	rd	3ffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM01	fcos	rd	bffc	bda025e336cd4273	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM02	fcos	rd	3ffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM03	fcos	rd	bffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM04	fcos	rd	3ffc	bda025e336cd4275	3ffe	fb9f863a86f71004	-	-	3820	skylake_h384
GM05	fcos	rd	bffc	bda025e336cd4275	3ffe	fb9f863a86f71004	-	-	3820	skylake_h384
GM00	fptan	rd	3ffc	bda025e336cd4273	3ffc	bfd2c2891670233d	3fff	8000000000000000	3020	skylake_h384
GM01	fptan	rd	bffc	bda025e336cd4273	bffc	bfd2c2891670233e	3fff	8000000000000000	3220	skylake_h384
GM02	fptan	rd	3ffc	bda025e336cd4274	3ffc	bfd2c2891670233e	3fff	8000000000000000	3020	skylake_h384
GM03	fptan	rd	bffc	bda025e336cd4274	bffc	bfd2c2891670233f	3fff	8000000000000000	3220	skylake_h384
GM04	fptan	rd	3ffc	bda025e336cd4275	3ffc	bfd2c2891670233f	3fff	8000000000000000	3020	skylake_h384
GM05	fptan	rd	bffc	bda025e336cd4275	bffc	bfd2c28916702340	3fff	8000000000000000	3220	skylake_h384
GM00	fsincos	ru	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da2930	3ffe	fb9f863a86f71006	3220	skylake_h384
GM01	fsincos	ru	bffc	bda025e336cd4273	bffc	bc8b2d3768da292f	3ffe	fb9f863a86f71006	3220	skylake_h384
GM02	fsincos	ru	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2931	3ffe	fb9f863a86f71006	3220	skylake_h384
GM03	fsincos	ru	bffc	bda025e336cd4274	bffc	bc8b2d3768da2930	3ffe	fb9f863a86f71006	3220	skylake_h384
GM04	fsincos	ru	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2932	3ffe	fb9f863a86f71005	3220	skylake_h384
GM05	fsincos	ru	bffc	bda025e336cd4275	bffc	bc8b2d3768da2931	3ffe	fb9f863a86f71005	3220	skylake_h384
GM00	fsin	ru	3ffc	bda025e336cd4273	3ffc	bc8b2d3768da2930	-	-	3a20	skylake_h384
GM01	fsin	ru	bffc	bda025e336cd4273	bffc	bc8b2d3768da292f	-	-	3820	skylake_h384
GM02	fsin	ru	3ffc	bda025e336cd4274	3ffc	bc8b2d3768da2931	-	-	3a20	skylake_h384
GM03	fsin	ru	bffc	bda025e336cd4274	bffc	bc8b2d3768da2930	-	-	3820	skylake_h384
GM04	fsin	ru	3ffc	bda025e336cd4275	3ffc	bc8b2d3768da2932	-	-	3a20	skylake_h384
GM05	fsin	ru	bffc	bda025e336cd4275	bffc	bc8b2d3768da2931	-	-	3820	skylake_h384
GM00	fcos	ru	3ffc	bda025e336cd4273	3ffe	fb9f863a86f71006	-	-	3a20	skylake_h384
GM01	fcos	ru	bffc	bda025e336cd4273	3ffe	fb9f863a86f71006	-	-	3a20	skylake_h384
GM02	fcos	ru	3ffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM03	fcos	ru	bffc	bda025e336cd4274	3ffe	fb9f863a86f71005	-	-	3820	skylake_h384
GM04	fcos	ru	3ffc	bda025e336cd4275	3ffe	fb9f863a86f71005	-	-	3a20	skylake_h384
GM05	fcos	ru	bffc	bda025e336cd4275	3ffe	fb9f863a86f71005	-	-	3a20	skylake_h384
